"Fichero","fecha"
"2015_abril_actuaciones_policiales.xls","2015-04-01"
"2015_enero_actuaciones_policiales.xls","2015-01-01"
"2015_febrero_actuaciones_policiales.xls","2015-02-01"
"2015_marzo_actuaciones_policiales.xls","2015-03-01"
"AGOSTO16.xls","2016-08-01"
"copia de datos en formato reutilizable mayo 2015.xls","2015-05-01"
"datos diciembre 2015.xls","2015-12-01"
"DATOS DICIEMBRE 2016.xls","2016-12-01"
"DATOS EN FORMATO REUTILIZABLE ABRIL 2016.xls","2016-04-01"
"datos en formato reutilizable agosto 2015.xls","2015-08-01"
"DATOS EN FORMATO REUTILIZABLE ENERO 2016.xlsx","2016-01-01"
"DATOS EN FORMATO REUTILIZABLE FEBRERO 2016.xls","2016-02-01"
"datos en formato reutilizable julio 2015.xls","2015-07-01"
"datos en formato reutilizable junio 2015.xls","2015-06-01"
"DATOS EN FORMATO REUTILIZABLE MARZO 2016.xls","2016-03-01"
"datos en formato reutilizable noviembre 2015.xlsx","2015-11-01"
"datos en formato reutilizable octubre 2015.xlsx","2015-10-01"
"datos en formato reutilizable septiembre 2015.xls","2015-09-01"
"DATOS ENERO 2017.xls","2017-01-01"
"DATOS FEBRERO 2017.xls","2017-02-01"
"DATOS NOVIEMBRE 2016.xls","2016-11-01"
"DATOS_ JULIO_2017.xlsx","2017-07-01"
"DATOS_ JUNIO_2017.xlsx","2017-06-01"
"DATOS_ NOVIEMBRE 2017.xlsx","2017-11-01"
"DATOS_ABRIL_2014.xls","2014-04-01"
"DATOS_ABRIL_2017.xls","2017-04-01"
"DATOS_ABRIL_2018.xlsx","2018-04-01"
"DATOS_AGOSTO_2014.xls","2014-08-01"
"DATOS_AGOSTO_2017.xlsx","2017-08-01"
"DATOS_AGOSTO_2018.xlsx","2018-08-01"
"DATOS_DICIEMBRE_2014.xls","2014-12-01"
"DATOS_DICIEMBRE_2017.xlsx","2017-12-01"
"DATOS_ENERO_2014.xls","2014-01-01"
"DATOS_ENERO_2018.xlsx","2018-01-01"
"DATOS_FEBRERO_2014.xls","2014-02-01"
"DATOS_FEBRERO_2018.xlsx","2018-02-01"
"DATOS_JULIO_2014.xls","2014-07-01"
"DATOS_JULIO_2018.xlsx","2018-07-01"
"DATOS_JUNIO_2014.xls","2014-06-01"
"DATOS_JUNIO_2018.xlsx","2018-06-01"
"DATOS_MARZO_2014 (1).xls","2014-03-01"
"DATOS_MARZO_2017.xls","2017-03-01"
"DATOS_MARZO_2018.xlsx","2018-03-01"
"DATOS_MAYO_2014.xls","2014-05-01"
"DATOS_MAYO_2017.xls","2017-05-01"
"DATOS_MAYO_2018.xlsx","2018-05-01"
"DATOS_NOVIEMBRE 2018.xlsx","2018-11-01"
"DATOS_NOVIEMBRE_ 2014.xls","2014-11-01"
"DATOS_OCTUBRE_2014.xls","2014-10-01"
"DATOS_OCTUBRE_2017.xlsx","2017-10-01"
"DATOS_OCTUBRE_2018.xlsx","2018-10-01"
"DATOS_SEPTIEMBRE_2014.xls","2014-09-01"
"DATOS_SEPTIEMBRE_2017.xlsx","2017-09-01"
"DATOS_SEPTIEMBRE_2018.xlsx","2018-09-01"
"JULIO 2016.xls","2016-07-01"
"JUNIO 2016.xls","2016-06-01"
"MAYO 2016.xls","2016-05-01"
"OCTUBRE16.xls","2016-10-01"
"SEPTIEMBRE16.xls","2016-09-01"
